SALE TYPE,SOLD DATE,PROPERTY TYPE,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,699900,4,3,First Colony Mud 5 Prcl H,3462,9224,1992,4,202,75,Active,October-23-2022 01:00 PM,October-23-2022 03:00 PM,HARMLS,78889876,N,Y,29.57218,-95.6261837
MLS Listing,,Single Family Residential,Sugar Land,TX,77478,1500000,3,2.5,Venetian Estates Sec 1,3164,16509,1963,4,474,58,Active,,,HARMLS,30210671,N,Y,29.6201926,-95.6281754
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,349000,4,2.5,Lakefield Sec 1,1791,5593,1985,4,195,,Active,,,HARMLS,72254054,N,Y,29.5810456,-95.5882938
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,739900,4,4.5,Greatwood Shores Sec 4,4068,10858,2006,4,182,46,Active,October-23-2022 02:00 PM,October-23-2022 04:00 PM,HARMLS,57981761,N,Y,29.5586103,-95.6730359
MLS Listing,,Single Family Residential,Stafford,TX,77477,379500,3,2.5,Sugar Creek,2300,9480,1982,4,165,54,Active,,,HARMLS,88892775,N,Y,29.62484,-95.5843338
MLS Listing,,Single Family Residential,Sugar Land,TX,77478,308500,3,2,Creekshire Sec 3,1579,6556,1985,4,195,68,Active,,,HARMLS,11285890,N,Y,29.5963071,-95.5914538
MLS Listing,,Single Family Residential,Sugar Land,TX,77478,355000,3,2.5,The Highlands,2289,6502,1981,4,155,50,Active,,,HARMLS,92783018,N,Y,29.599623,-95.6022277
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,450000,4,2,The Reserve At Glen Laurel Sec 1,2488,12473,2005,5,181,33,Active,,,HARMLS,4123980,N,Y,29.6500054,-95.6301671
MLS Listing,,Single Family Residential,Missouri City,TX,77459,400000,4,2.5,Lake Colony Sec 4,2867,7765,1992,5,140,68,Active,October-23-2022 12:00 PM,October-23-2022 03:00 PM,HARMLS,62795854,N,Y,29.5768417,-95.5830412
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,385000,3,2,Woodstream,2206,7539,1983,5,175,67,Active,October-23-2022 12:00 PM,October-23-2022 04:00 PM,HARMLS,83696666,N,Y,29.5845898,-95.6188337
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,350000,5,3,Stratford Park Village Five,3054,6261,1999,5,115,36,Active,,,HARMLS,30547279,N,Y,29.6305721,-95.6796323
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,240000,3,2,Townewest Sec 4,1419,6300,1981,6,169,30,Active,,,HARMLS,27579896,N,Y,29.6702436,-95.6380935
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,439000,5,2.5,Sugarmill Sec 2,2500,9264,1981,8,176,68,Active,,,HARMLS,45149157,N,Y,29.6275424,-95.6208662
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,750000,5,3.5,New Territory Prcl Sf-18,4534,13055,1996,8,165,93,Active,October-23-2022 03:00 PM,October-23-2022 05:00 PM,HARMLS,25328378,N,Y,29.5901216,-95.6624339
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,665000,3,3,Riverstone,2866,6927,2015,2,232,212,Active,October-23-2022 01:00 PM,October-23-2022 03:00 PM,HARMLS,39785065,N,Y,29.5456712,-95.5909202
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,410000,4,2.5,Greatwood Crossing Sec 1-a,2522,7936,1995,4,163,76,Active,,,HARMLS,96501544,N,Y,29.5455531,-95.6790568
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,515000,5,3.5,Riverpark,4707,9380,2000,2,109,70,Active,October-23-2022 12:00 PM,October-23-2022 02:00 PM,HARMLS,49567485,N,Y,29.5702391,-95.6777211
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,450000,4,3.5,Waterford Sec 1,3298,8873,1991,8,136,46,Active,,,HARMLS,27023062,N,Y,29.6705087,-95.6467193
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,269900,3,2,Townewest Sec 6,1274,5775,1982,8,212,28,Active,,,HARMLS,34615485,N,Y,29.6583677,-95.6351364
MLS Listing,,Single Family Residential,Sugar Land,TX,77478,305000,3,2,The Highlands Sec 2,1769,6613,1981,8,172,44,Active,October-23-2022 03:00 PM,October-23-2022 05:00 PM,HARMLS,10710965,N,Y,29.5965487,-95.612511
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,399000,4,3.5,New Territory Prcl Mcu-7,2592,6927,1999,8,154,92,Active,,,HARMLS,86280056,N,Y,29.5925906,-95.6812763
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,340000,4,2.5,Oak Lake Estates,2416,9606,1997,8,141,42,Active,,,HARMLS,71386068,N,Y,29.645843,-95.6559216
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,875000,5,4.5,The Orchard At Riverstone,5114,10742,2012,8,171,92,Active,,,HARMLS,57663251,N,Y,29.5330344,-95.5707938
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,979000,3,2,Skyview Farms,2033,82764,1980,9,482,,Active,,,HARMLS,91734764,N,Y,29.6522651,-95.6290172
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,570000,5,4,Park Pointe Sec 1,3548,11769,1996,9,161,54,Active,,,HARMLS,60495477,N,Y,29.6388365,-95.6548842
MLS Listing,,Single Family Residential,Sugar Land,TX,77478,360000,4,3.5,Edgewater Sec 2,2739,6335,1997,9,131,68,Active,,,HARMLS,868548,N,Y,29.5956087,-95.6010784
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,480000,4,3.5,Glen Laurel Sec 2,3199,8567,2000,10,150,44,Active,,,HARMLS,65592937,N,Y,29.6523114,-95.6332472
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,525000,4,3.5,New Territory,3316,8437,2000,10,158,84,Active,,,HARMLS,80537420,N,Y,29.5800507,-95.6953145
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,669000,3,3.5,Riverstone,2767,7049,2015,10,242,93,Active,,,HARMLS,91253733,N,Y,29.5466661,-95.5898122
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,948880,4,3.5,Riverstone,4272,11532,2019,10,222,151,Active,,,HARMLS,4422745,N,Y,29.5352711,-95.6148511
MLS Listing,,Single Family Residential,Sugar Land,TX,77478,370000,3,2.5,Plantation Colony Sec 1,2394,7743,1991,11,155,69,Active,,,HARMLS,52543891,N,Y,29.589999,-95.5847236
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,550000,5,3.5,Oaks Of Alcorn,3742,8925,1990,11,147,68,Active,,,HARMLS,79486262,N,Y,29.5789702,-95.6209483
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,510000,4,3.5,Williams Grant Sec 1,3051,11805,1983,11,167,58,Active,,,HARMLS,86183097,N,Y,29.5918551,-95.6071331
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,1398880,5,4.5,Riverstone,4887,12150,2008,11,286,156,Active,October-23-2022 01:00 PM,October-23-2022 04:00 PM,HARMLS,84489961,N,Y,29.5457021,-95.5745683
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,695000,4,4.5,Creekstone Village at Riverstone,4050,10760,2010,11,172,92,Active,October-23-2022 02:00 PM,October-23-2022 04:00 PM,HARMLS,98552240,N,Y,29.5417649,-95.5650506
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,425000,4,2.5,Meadowvale Sec 1,2842,9388,1993,12,150,84,Active,,,HARMLS,36095190,N,Y,29.5888192,-95.6633379
MLS Listing,,Single Family Residential,Stafford,TX,77477,348000,3,2,Sugar Creek,1981,8400,1988,12,176,51,Active,,,HARMLS,76461423,N,Y,29.6240242,-95.5844158
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,825000,4,3,Riverstone North Sec 5,3270,16933,2016,12,252,93,Active,October-23-2022 03:00 PM,October-23-2022 06:00 PM,HARMLS,52799644,N,Y,29.562707,-95.581696
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,420000,3,2.5,Jno Leverton,1621,21780,1966,13,259,,Active,,,HARMLS,86798528,N,Y,29.6688428,-95.6598864
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,319000,3,2.5,Eldridge Park Village Sec 2,2371,4712,1999,15,135,25,Active,,,HARMLS,60854785,N,Y,29.6584006,-95.6205171
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,790000,5,3.5,Commonwealth Estates Sec 1,5263,13242,1992,15,150,80,Active,,,HARMLS,31085255,N,Y,29.5604504,-95.6061684
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,375000,3,2.5,Riverpark Sec 11,2852,8017,2002,15,131,31,Active,,,HARMLS,65383250,N,Y,29.5686071,-95.6900318
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,538880,4,2.5,Riverstone,3254,7421,2014,15,166,93,Active,,,HARMLS,25925035,N,Y,29.5420966,-95.5857085
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,483000,3,2,Riverstone,2344,6047,2017,15,206,93,Active,October-23-2022 12:00 PM,October-23-2022 02:00 PM,HARMLS,83466194,N,Y,29.5477236,-95.594737
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,594900,5,3.5,Meadow Lakes Sec 2,3758,10971,1999,15,158,68,Active,,,HARMLS,54158049,N,Y,29.5991034,-95.6337605
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,669000,5,4.5,Shadow Glen At Riverstone,4068,9099,2011,15,164,93,Active,,,HARMLS,19052072,N,Y,29.5361459,-95.5736041
MLS Listing,,Single Family Residential,Sugar Land,TX,77478,425000,3,2,Sugar Creek,2772,7131,1972,16,153,42,Active,,,HARMLS,58372666,N,Y,29.621613,-95.596353
MLS Listing,,Single Family Residential,Sugar Land,TX,77498,349900,4,2,Covington Woods Sec 3,2048,9684,1974,16,171,38,Active,,,HARMLS,88328450,N,Y,29.6420949,-95.6283602
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,349500,4,3,Settlers Park,1980,8731,1978,16,177,42,Active,October-23-2022 01:00 PM,October-23-2022 03:00 PM,HARMLS,24013375,N,Y,29.5817138,-95.600319
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,925000,4,3,Gardens Of Avalon,3751,10237,1998,16,247,155,Active,,,HARMLS,69037554,N,Y,29.5608943,-95.6336168
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,749000,4,3.5,Colony Woods,4150,10604,1989,14,180,77,Active,,,HARMLS,77967758,N,Y,29.5654866,-95.6018378
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,950000,6,4.5,Avalon AT Riverstone,4687,11068,2018,17,203,100,Active,,,HARMLS,72834051,N,Y,29.535501,-95.6131473
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,995000,4,4,Alcorn Bend Sec 2,4524,11006,1993,16,220,68,Active,,,HARMLS,64679515,N,Y,29.5648346,-95.6258552
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,559000,4,3.5,Greatwood Trails Sec 4,3158,9751,1994,15,177,76,Active,October-29-2022 12:00 PM,October-29-2022 03:00 PM,HARMLS,70054634,N,Y,29.5493945,-95.6747414
MLS Listing,,Single Family Residential,Sugar Land,TX,77479,438000,4,2.5,Creekstone Village At Riverstone Sec 1,2598,6781,2007,18,169,92,Active,,,HARMLS,4971220,N,Y,29.5475082,-95.56864
