Days on Zillow,Status,Price,Zipcode,House Size,Lot Size,Year Built,Schools Rating,Rent Estimate
0,House for sale,330000,77301,2434,6512,2015,6,2283
3,House for sale,265000,77304,1964,43560,1972,5,1895
0,House for sale,775000,77304,4563,19750,2008,5.5,4488
0,House for sale,256000,77301,2054,5875,2006,6,1874
0,House for sale,399900,77318,2363,27950,2012,5.4,1996
35,House for sale,129900,77301,768,3964,1954,4.8,1039
10,House for sale,365000,77301,2946,5014,2015,6,2584
114,House for sale,175000,77301,1460,8584,1986,5.6,1575
0,House for sale,295000,77304,1956,17000,1970,5.7,1884
11,House for sale,279900,77301,1904,7700,1976,5.8,1719
48,House for sale,312500,77378,2492,8309,2007,5.7,2015
103,House for sale,140000,77301,1161,7560,1950,4.8,1500
10,House for sale,673575,77304,3548,13936,2014,5.5,3193
73,House for sale,280000,77301,1692,11200,1972,4.5,1500
0,House for sale,224500,77303,1076,7631,1966,4.5,1345
0,House for sale,275000,77301,1698,9600,1960,4.8,1603
15,House for sale,450000,77301,4333,16500,1950,4.8,1962
0,House for sale,362000,77304,2699,7911,2011,5.7,2087
110,House for sale,750000,77301,2808,28000,1940,5.5,4041
3,House for sale,279900,77306,1598,44447,2002,5.8,1599
46,House for sale,149999,77303,1252,11200,1970,5.7,1495
2,House for sale,199999,77303,1090,8679,2004,5.3,1394
7,House for sale,289995,77306,1686,5589,2019,5.3,1530
0,House for sale,444000,77303,2646,286917,1987,5.7,1640
34,House for sale,425000,77303,1887,43560,2005,5.3,1538
47,House for sale,247000,77306,1344,17500,1983,6,1544
0,House for sale,665000,77306,2596,217800,2009,4,3803
0,House for sale,595000,77303,1915,478289,1969,5.7,2756
0,House for sale,275000,77306,1400,6268,2019,5.3,1530
0,House for sale,659700,77303,2564,132684,2015,5.7,1615
299,House for sale,430000,77303,1842,74923,2011,5.7,2825
0,House for sale,420000,77303,1432,263538,1964,5.7,1399
63,House for sale,239900,77306,1956,33000,1975,4,1761
5,House for sale,625990,77303,1722,221067,2017,5.7,1564
40,House for sale,515000,77306,2227,159865,1979,5.3,2350
34,House for sale,725000,77303,1000,43560,1980,5.3,1538
0,House for sale,305000,77303,3498,176331,1978,5.3,1605
0,House for sale,285000,77328,2380,87120,1982,5.3,1888
0,House for sale,299000,77328,1369,53152,1970,3.2,1675
3,House for sale,255000,77328,1228,111514,1991,3.2,1673
4,House for sale,319900,77328,1740,130806,2007,3.4,1667
31,House for sale,875000,77328,3611,193842,2013,3,4018
22,House for sale,249000,77328,1316,56628,1985,3.2,1605
0,House for sale,214900,77327,2040,15002,1960,3.2,1527
54,Foreclosure,99900,77327,2351,10232,1950,3.2,1599
4,Foreclosure,154900,77327,1824,10759,1972,3.2,1651
44,House for sale,83500,77328,1050,15525,1974,3,1099
0,House for sale,259900,77327,2760,33450,1945,3.2,1640
11,House for sale,199900,77327,1176,10411,1953,3.2,1661
7,House for sale,185000,77327,1014,7248,1977,3.2,1634
0,House for sale,109000,77327,2340,5001,1970,3.2,1640
0,House for sale,279900,77327,1936,21750,1956,3.2,1661
46,Foreclosure,150000,77327,1933,14501,1945,3.2,1500
193,House for sale,375000,77327,1738,70284,1950,3.2,2428
0,House for sale,155000,77327,1200,22002,1952,3.2,1185
138,House for sale,259900,77327,1680,24006,2018,3.2,1800
0,House for sale,129900,77327,896,7000,1995,3.2,964
3,House for sale,315000,77328,1230,21780,1964,3.2,1294
10,House for sale,125000,77327,1232,7501,1952,3.2,1640
0,House for sale,349900,77327,1088,21344,1970,3.2,1661
376,House for sale,250000,77328,725,30174,1940,3.2,910
96,House for sale,749000,77327,1212,285170,1975,3.2,1661
91,House for sale,175000,77327,1647,25265,1980,4.5,1399
38,House for sale,497900,77327,1287,395089,1993,4.5,1421
0,House for sale,715000,77327,3136,824351,2003,4.5,4248
37,House for sale,425000,77327,1798,112385,1992,4.5,1820
6,House for sale,450000,77327,2180,304580,1979,4.5,2452
42,House for sale,450000,77327,2458,88444,2017,4.5,2100
58,House for sale,199000,77327,374,9065,2015,4.5,1799
24,House for sale,375000,77327,1824,87556,2002,4.5,1813
0,House for sale,82200,77327,280,10708,2011,4.5,1724
0,House for sale,399999,77484,1808,33977,2018,4,1817
62,House for sale,235000,77868,483,88862,2019,4,1194
57,House for sale,395000,77868,1200,199940,1997,4,1425
9,House for sale,675000,77484,2935,87381,2018,4,3427
0,House for sale,795000,77484,2435,106591,2007,4,4025
4,House for sale,354000,77355,2418,12005,2015,5,2294
11,House for sale,407500,77355,2603,24063,2014,5,2227
7,House for sale,659500,77484,2756,65340,2019,4,2317
10,House for sale,337000,77355,1635,10293,2016,5,1800
2,House for sale,250000,77354,1092,65340,1982,5.7,1368
