addressLine1	bathrooms	bedrooms	city	county	createdDate	daysOnMarket	formattedAddress	id	lastSeen	latitude	listedDate	longitude	lotSize	price	propertyType	rawAddress	removedDate	squareFootage	state	status	yearBuilt	zipCode
2903 Prairie Hill Ct	2.5	4	Houston	Harris County	2022-08-05T14:00:11.353Z	87	2903 Prairie Hill Ct, Houston, TX 77059	2903-Prairie-Hill-Ct,-Houston,-TX-77059	2022-10-24T14:55:19.404Z	29.601141	2022-07-29T15:21:30.000Z	-95.138186	8686	364900	Single Family	2903 Prairie Hill Ct, Houston, TX 77059		2725	TX	Active	1993	77059
204 Marshall St	2.5	2	Houston	Harris County	2022-08-05T14:00:11.346Z	87	204 Marshall St, Unit 4, Houston, TX 77006	204-Marshall-St,-Unit-4,-Houston,-TX-77006	2022-10-24T14:55:19.403Z	29.739403	2022-07-29T16:13:00.000Z	-95.385276	1095	375000	Townhouse	204 Marshall St Unit 4, Houston, TX 77006		1741	TX	Active	1984	77006
5656 San Felipe St	2	2	Houston	Harris County	2022-08-05T14:00:11.353Z	87	5656 San Felipe St, Unit 1303, Houston, TX 77056	5656-San-Felipe-St,-Unit-1303,-Houston,-TX-77056	2022-10-24T14:55:19.403Z	29.750515	2022-07-29T15:21:30.000Z	-95.476477		1495000	Condo	5656 San Felipe St Unit 1303, Houston, TX 77056		1517	TX	Active	2023	77056
2206 Eaves Dr	2.5	4	Baytown	Harris County	2022-08-05T14:00:11.348Z	87	2206 Eaves Dr, Baytown, TX 77520	2206-Eaves-Dr,-Baytown,-TX-77520	2022-10-24T14:55:19.403Z	29.746147	2022-07-29T16:04:25.000Z	-94.942239	8799	244900	Single Family	2206 Eaves Dr, Baytown, TX 77520		2253	TX	Active	1966	77520
1159 Magnolia Branch Ln	2.5	3	Tomball	Harris County	2022-08-05T14:00:11.317Z	87	1159 Magnolia Branch Ln, Tomball, TX 77375	1159-Magnolia-Branch-Ln,-Tomball,-TX-77375	2022-10-24T14:55:19.403Z	30.108522	2022-07-29T17:18:10.000Z	-95.608134	4800	351064	Single Family	1159 Magnolia Branch Ln, Tomball, TX 77375		1900	TX	Active	2022	77375
3253 Royal Oaks Hollow Ln	3.5	3	Houston	Harris County	2022-09-05T14:17:41.591Z	87	3253 Royal Oaks Hollow Ln, Houston, TX 77082	3253-Royal-Oaks-Hollow-Ln,-Houston,-TX-77082	2022-10-24T14:55:19.403Z	29.724818	2022-07-29T16:18:57.000Z	-95.590678	3842	730602	Single Family	3253 Royal Oaks Hollow Ln, Houston, TX 77082		2848	TX	Active	2022	77082
10511 Autumn Harvest Dr	2	4	Houston	Harris County	2022-08-05T14:00:11.340Z	87	10511 Autumn Harvest Dr, Houston, TX 77064	10511-Autumn-Harvest-Dr,-Houston,-TX-77064	2022-10-24T14:55:19.402Z	29.92778	2022-07-29T16:55:32.000Z	-95.576647	7100	285000	Single Family	10511 Autumn Harvest Dr, Houston, TX 77064		1560	TX	Active	1983	77064
4005 Danek Rd	2	3	Crosby	Harris County	2022-08-05T14:00:11.340Z	87	4005 Danek Rd, Crosby, TX 77532	4005-Danek-Rd,-Crosby,-TX-77532	2022-10-24T14:55:19.402Z	29.851445	2022-07-29T16:51:49.000Z	-95.007577	856533	980000	Single Family	4005 Danek Rd, Crosby, TX 77532		2024	TX	Active	1976	77532
1215 Shore Acres Blvd			Shoreacres	Harris County	2022-08-05T14:00:11.317Z	87	1215 Shore Acres Blvd, Shoreacres, TX 77571	1215-Shore-Acres-Blvd,-Shoreacres,-TX-77571	2022-10-24T14:55:19.402Z	29.619339	2022-07-29T17:12:33.000Z	-95.027969	44849	118000	Land	1215 Shore Acres Blvd, Shoreacres, TX 77571			TX	Active		77571
10823 Chimney Rock Rd	2	3	Houston	Harris County	2022-08-05T14:00:11.317Z	87	10823 Chimney Rock Rd, Houston, TX 77096	10823-Chimney-Rock-Rd,-Houston,-TX-77096	2022-10-24T14:55:19.399Z	29.662587	2022-07-29T17:18:10.000Z	-95.476047	13652	339900	Single Family	10823 Chimney Rock Rd, Houston, TX 77096		2437	TX	Active	1963	77096
3923 Cornell Park Ct	2	3	Houston	Harris County	2022-08-11T13:58:53.822Z	87	3923 Cornell Park Ct, Houston, TX 77058	3923-Cornell-Park-Ct,-Houston,-TX-77058	2022-10-24T14:55:19.399Z	29.591516	2022-07-29T17:04:15.000Z	-95.095784	6020	396500	Single Family	3923 Cornell Park Ct, Houston, TX 77058		2726	TX	Active	1999	77058
12625 Memorial Dr	2	3	Houston	Harris County	2022-08-05T14:00:11.342Z	87	12625 Memorial Dr, Apt 56, Houston, TX 77024	12625-Memorial-Dr,-Apt-56,-Houston,-TX-77024	2022-10-24T14:55:19.399Z	29.764618	2022-07-29T16:39:24.000Z	-95.554607	1863	304999	Townhouse	12625 Memorial Dr Apt 56, Houston, TX 77024		1701	TX	Active	1978	77024
16910 Chapel Pines Dr	2.5	3	Spring	Harris County	2022-08-05T14:00:11.296Z	87	16910 Chapel Pines Dr, Unit 117, Spring, TX 77379	16910-Chapel-Pines-Dr,-Unit-117,-Spring,-TX-77379	2022-10-24T14:55:19.398Z	30.018524	2022-07-29T18:40:59.000Z	-95.532192	592943	204000	Condo	16910 Chapel Pines Dr Unit 117, Spring, TX 77379		1436	TX	Active	1990	77379
14306 Beach Pine Trl	2.5	4	Crosby	Harris County	2022-10-15T14:53:42.932Z	87	14306 Beach Pine Trl, Crosby, TX 77532	14306-Beach-Pine-Trl,-Crosby,-TX-77532	2022-10-24T14:55:19.398Z	29.894726	2022-07-29T17:12:33.000Z	-95.071542		356243	Single Family	14306 Beach Pine Trl, Crosby, TX 77532		2507	TX	Active	2022	77532
