addressLine1	bathrooms	bedrooms	city	county	createdDate	daysOnMarket	formattedAddress	id	lastSeen	latitude	listedDate	longitude	lotSize	price	propertyType	rawAddress	removedDate	squareFootage	state	status	yearBuilt	zipCode
4773 E Ridge Creek Dr	2	4	Houston	Fort Bend County	2022-10-13T08:57:45.104Z	11	4773 E Ridge Creek Dr, Houston, TX 77053	4773-E-Ridge-Creek-Dr,-Houston,-TX-77053	2022-10-23T08:33:51.474Z	29.589619	2022-10-13T01:30:24.000Z	-95.451802	5523	200000	Single Family	4773 E Ridge Creek Dr, Houston, TX 77053		1418	TX	Active	2006	77053
14702 Ravenscroft Way	4.5	5	Houston	Fort Bend County	2022-06-30T14:35:44.240Z	10	14702 Ravenscroft Way, Houston, TX 77083	14702-Ravenscroft-Way,-Houston,-TX-77083	2022-10-23T08:33:51.473Z	29.677722	2022-10-13T11:49:00.000Z	-95.646654	9601	499900	Single Family	14702 Ravenscroft Way, Houston, TX 77083		3648	TX	Active	2000	77083
8422 Fredericksburg Ln	2.5	4	Houston	Fort Bend County	2022-10-14T11:22:54.509Z	10	8422 Fredericksburg Ln, Houston, TX 77083	8422-Fredericksburg-Ln,-Houston,-TX-77083	2022-10-23T08:33:51.465Z	29.682581	2022-10-13T17:13:52.000Z	-95.678894	5798	325000	Single Family	8422 Fredericksburg Ln, Houston, TX 77083		2690	TX	Active	2001	77083
5806 Berkridge Dr	2	3	Houston	Fort Bend County	2022-10-15T09:18:22.173Z	9	5806 Berkridge Dr, Houston, TX 77053	5806-Berkridge-Dr,-Houston,-TX-77053	2022-10-23T08:33:51.413Z	29.593499	2022-10-14T19:36:01.000Z	-95.474296	4517	215000	Single Family	5806 Berkridge Dr, Houston, TX 77053		1294	TX	Active	1984	77053
15426 Appleridge Dr	2.5	3	Houston	Fort Bend County	2022-10-15T09:18:22.171Z	9	15426 Appleridge Dr, Houston, TX 77489	15426-Appleridge-Dr,-Houston,-TX-77489	2022-10-23T08:33:51.406Z	29.60209	2022-10-14T21:04:02.000Z	-95.500641	5018	354900	Single Family	15426 Appleridge Dr, Houston, TX 77489			TX	Active	2022	77489
16307 Angel Island Ln	2.5	4	Houston	Fort Bend County	2022-10-15T09:18:22.167Z	9	16307 Angel Island Ln, Houston, TX 77053	16307-Angel-Island-Ln,-Houston,-TX-77053	2022-10-23T08:33:51.403Z	29.591189	2022-10-14T22:44:34.000Z	-95.476035	5200	225000	Single Family	16307 Angel Island Ln, Houston, TX 77053		2044	TX	Active	2000	77053
16607 Amy Ridge Rd	2.5	4	Houston	Fort Bend County	2022-10-15T09:18:22.166Z	9	16607 Amy Ridge Rd, Houston, TX 77053	16607-Amy-Ridge-Rd,-Houston,-TX-77053	2022-10-23T08:33:51.397Z	29.583792	2022-10-14T22:49:29.000Z	-95.46122	6454	250000	Single Family	16607 Amy Ridge Rd, Houston, TX 77053		2282	TX	Active	1999	77053
8026 Suspiro Dr	2	3	Houston	Fort Bend County	2022-10-18T09:00:16.372Z	6	8026 Suspiro Dr, Houston, TX 77083	8026-Suspiro-Dr,-Houston,-TX-77083	2022-10-23T08:32:27.435Z	29.689997	2022-10-17T23:27:48.000Z	-95.66081	8168	260000	Single Family	8026 Suspiro Dr, Houston, TX 77083		1818	TX	Active	1982	77083
14222 Andrea Way Ln	3	4	Houston	Fort Bend County	2022-10-19T09:05:25.245Z	5	14222 Andrea Way Ln, Houston, TX 77083	14222-Andrea-Way-Ln,-Houston,-TX-77083	2022-10-23T08:32:27.432Z	29.679126	2022-10-18T15:05:42.000Z	-95.638111	8063	320000	Single Family	14222 Andrea Way Ln, Houston, TX 77083		2489	TX	Active	1999	77083
16702 Espinosa Dr	2	2	Houston	Fort Bend County	2022-10-19T09:05:25.245Z	5	16702 Espinosa Dr, Houston, TX 77083	16702-Espinosa-Dr,-Houston,-TX-77083	2022-10-23T08:32:27.429Z	29.698783	2022-10-18T17:29:20.000Z	-95.68057	6137	138500	Single Family	16702 Espinosa Dr, Houston, TX 77083		1129	TX	Active	1980	77083
15838 Gatebriar Dr	2	2	Houston	Fort Bend County	2022-10-19T09:05:25.241Z	5	15838 Gatebriar Dr, Houston, TX 77489	15838-Gatebriar-Dr,-Houston,-TX-77489	2022-10-23T08:32:27.426Z	29.595455	2022-10-18T21:42:15.000Z	-95.501178	6821	230000	Single Family	15838 Gatebriar Dr, Houston, TX 77489		1246	TX	Active	1981	77489
7430 Tetela Dr	2	3	Houston	Fort Bend County	2022-03-17T06:36:55.336Z	5	7430 Tetela Dr, Houston, TX 77083	7430-Tetela-Dr,-Houston,-TX-77083	2022-10-23T08:32:27.425Z	29.694056	2022-10-18T22:43:37.000Z	-95.683344	6991	245000	Single Family	7430 Tetela Dr, Houston, TX 77083		1226	TX	Active	1981	77083
16238 Bantam Ridge Ct	2.5	4	Houston	Fort Bend County	2022-10-20T12:21:32.778Z	4	16238 Bantam Ridge Ct, Houston, TX 77053	16238-Bantam-Ridge-Ct,-Houston,-TX-77053	2022-10-23T08:32:27.416Z	29.590524	2022-10-19T15:32:58.000Z	-95.468214	6530	265000	Single Family	16238 Bantam Ridge Ct, Houston, TX 77053		1786	TX	Active	2005	77053
8128 Soledad Dr	2	3	Houston	Fort Bend County	2022-10-20T12:21:32.775Z	4	8128 Soledad Dr, Houston, TX 77083	8128-Soledad-Dr,-Houston,-TX-77083	2022-10-23T08:32:27.412Z	29.687691	2022-10-19T16:49:06.000Z	-95.673854	5114	217000	Single Family	8128 Soledad Dr, Houston, TX 77083		1104	TX	Active	1982	77083
15706 Schumann Ln	2	2	Houston	Fort Bend County	2022-10-20T12:21:32.771Z	4	15706 Schumann Ln, Houston, TX 77083	15706-Schumann-Ln,-Houston,-TX-77083	2022-10-23T08:32:27.411Z	29.687491	2022-10-19T19:17:00.000Z	-95.661839	5841	220000	Single Family	15706 Schumann Ln, Houston, TX 77083		1302	TX	Active	1983	77083
5831 Cerritos Dr	2.5	3	Houston	Harris County	2020-10-13T17:58:58.186Z	1	5831 Cerritos Dr, Houston, TX 77035	5831-Cerritos-Dr,-Houston,-TX-77035	2022-10-23T08:22:47.131Z	29.651031	2022-10-22T22:51:42.000Z	-95.490933	9940	395000	Single Family	5831 Cerritos Dr, Houston, TX 77035		2072	TX	Active	1960	77035
5500 Jensen Dr			Houston	Harris County	2021-11-24T13:18:48.876Z	1	5500 Jensen Dr, Houston, TX 77026	5500-Jensen-Dr,-Houston,-TX-77026	2022-10-23T08:22:47.128Z	29.810491	2022-10-23T04:10:15.000Z	-95.341944	6909	80000	Land	5500 Jensen Dr, Houston, TX 77026			TX	Active		77026
2814 S Bartell Dr	1	2	Houston	Harris County	2021-06-19T11:41:33.722Z	2	2814 S Bartell Dr, Apt 25, Houston, TX 77054	2814-S-Bartell-Dr,-Apt-25,-Houston,-TX-77054	2022-10-23T08:22:47.094Z	29.680874	2022-10-22T00:55:30.000Z	-95.419935	92537	70000	Condo	2814 S Bartell Dr Apt 25, Houston, TX 77054		825	TX	Active	1980	77054
357 Sydnor St	2	3	Houston	Harris County	2022-10-22T08:51:09.540Z	2	357 Sydnor St, Houston, TX 77020	357-Sydnor-St,-Houston,-TX-77020	2022-10-23T08:22:47.094Z	29.765818	2022-10-22T00:30:05.000Z	-95.338923	1506	325000	Townhouse	357 Sydnor St, Houston, TX 77020		1517	TX	Active	2008	77020
18048 Lakeside Ln	2	2	Houston	Harris County	2021-05-12T16:44:39.929Z	2	18048 Lakeside Ln, Houston, TX 77058	18048-Lakeside-Ln,-Houston,-TX-77058	2022-10-23T08:22:47.092Z	29.554586	2022-10-22T01:49:34.000Z	-95.075918	3000	375000	Townhouse	18048 Lakeside Ln, Houston, TX 77058		2145	TX	Active	1978	77058
1224 Sloane Manor Trce	2.5	3	Houston	Harris County	2022-10-22T08:51:09.535Z	2	1224 Sloane Manor Trce, Houston, TX 77043	1224-Sloane-Manor-Trce,-Houston,-TX-77043	2022-10-23T08:22:47.092Z	29.792911	2022-10-22T01:22:24.000Z	-95.570408	2030	479995	Single Family	1224 Sloane Manor Trce, Houston, TX 77043		1812	TX	Active	2022	77043
4726 Glenvillage St	2	4	Houston	Harris County	2022-10-22T08:51:09.542Z	2	4726 Glenvillage St, Houston, TX 77084	4726-Glenvillage-St,-Houston,-TX-77084	2022-10-23T08:22:47.092Z	29.843458	2022-10-22T00:49:22.000Z	-95.663975	6194	294900	Single Family	4726 Glenvillage St, Houston, TX 77084		1752	TX	Active	1982	77084
2502 Bringhurst St	1.5	2	Houston	Harris County	2022-10-22T08:51:09.536Z	2	2502 Bringhurst St, Houston, TX 77026	2502-Bringhurst-St,-Houston,-TX-77026	2022-10-23T08:22:47.090Z	29.785181	2022-10-22T01:46:01.000Z	-95.334035	12998	699999	Single Family	2502 Bringhurst St, Houston, TX 77026		1296	TX	Active	1960	77026
